=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.02.24 08:26:02 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
Time:46192, ID:1, X:125, Y:131, W:82, H:82
Time:46246, ID:1, X:125, Y:131, W:82, H:82
Time:46300, ID:1, X:125, Y:131, W:82, H:82
Time:46354, ID:1, X:125, Y:131, W:82, H:82
Time:46408, ID:1, X:125, Y:131, W:82, H:82
Time:46462, ID:1, X:125, Y:131, W:82, H:82
Time:46516, ID:1, X:126, Y:131, W:82, H:82
Time:46570, ID:1, X:126, Y:131, W:82, H:82
Time:46624, ID:1, X:128, Y:131, W:82, H:82
Time:46678, ID:1, X:128, Y:131, W:82, H:82
Time:46732, ID:1, X:130, Y:130, W:82, H:82
Time:46786, ID:1, X:130, Y:130, W:82, H:82
Time:46840, ID:1, X:130, Y:130, W:82, H:82
Time:46894, ID:1, X:130, Y:130, W:82, H:82
Time:46948, ID:1, X:130, Y:130, W:82, H:82
Time:47002, ID:1, X:130, Y:130, W:82, H:82
Time:47056, ID:1, X:130, Y:130, W:82, H:82
Time:47110, ID:1, X:130, Y:130, W:82, H:82
Time:47164, ID:1, X:129, Y:131, W:82, H:82
Time:47218, ID:1, X:129, Y:131, W:82, H:82
Time:47272, ID:1, X:128, Y:131, W:83, H:83
Time:47326, ID:1, X:128, Y:131, W:83, H:83
Time:47380, ID:1, X:127, Y:132, W:83, H:83
Time:47434, ID:1, X:127, Y:132, W:83, H:83
Time:47488, ID:1, X:125, Y:133, W:83, H:83
Time:47542, ID:1, X:125, Y:133, W:83, H:83
Time:47596, ID:1, X:125, Y:133, W:83, H:83
Time:47650, ID:1, X:125, Y:133, W:83, H:83
Time:47704, ID:1, X:127, Y:135, W:83, H:83
Time:47758, ID:1, X:127, Y:135, W:83, H:83
Time:47812, ID:1, X:127, Y:135, W:83, H:83
Time:47866, ID:1, X:127, Y:135, W:83, H:83
Time:47920, ID:1, X:127, Y:134, W:83, H:83
Time:47974, ID:1, X:127, Y:134, W:83, H:83
Time:48028, ID:1, X:128, Y:133, W:82, H:82
Time:48082, ID:1, X:128, Y:133, W:82, H:82
Time:48136, ID:1, X:128, Y:133, W:82, H:82
Time:48190, ID:1, X:128, Y:133, W:82, H:82
Time:48244, ID:1, X:128, Y:133, W:82, H:82
Time:48298, ID:1, X:128, Y:133, W:82, H:82
Time:48352, ID:1, X:128, Y:133, W:82, H:82
Time:48406, ID:1, X:128, Y:133, W:82, H:82
Time:48460, ID:1, X:128, Y:133, W:82, H:82
Time:48514, ID:1, X:128, Y:133, W:82, H:82
Time:48568, ID:1, X:128, Y:133, W:82, H:82
Time:48622, ID:1, X:129, Y:133, W:82, H:82
Time:48676, ID:1, X:129, Y:133, W:82, H:82
Time:48730, ID:1, X:128, Y:134, W:82, H:82
Time:48784, ID:1, X:128, Y:134, W:82, H:82
Time:48838, ID:1, X:128, Y:135, W:82, H:82
Time:48892, ID:1, X:128, Y:135, W:82, H:82
Time:48946, ID:1, X:128, Y:135, W:82, H:82
Time:49000, ID:1, X:128, Y:135, W:82, H:82
Time:49054, ID:1, X:127, Y:135, W:82, H:82
Time:49108, ID:1, X:127, Y:135, W:82, H:82
Time:49162, ID:1, X:127, Y:136, W:82, H:82
Time:49216, ID:1, X:127, Y:136, W:82, H:82
Time:49270, ID:1, X:127, Y:137, W:82, H:82
Time:49324, ID:1, X:127, Y:137, W:82, H:82
Time:49378, ID:1, X:128, Y:138, W:82, H:82
Time:49432, ID:1, X:128, Y:138, W:82, H:82
Time:49486, ID:1, X:128, Y:138, W:82, H:82
Time:49540, ID:1, X:128, Y:138, W:82, H:82
Time:49594, ID:1, X:128, Y:138, W:82, H:82
Time:49648, ID:1, X:128, Y:138, W:82, H:82
Time:49702, ID:1, X:129, Y:138, W:82, H:82
Time:49756, ID:1, X:129, Y:138, W:82, H:82
Time:49810, ID:1, X:129, Y:136, W:81, H:81
Time:49864, ID:1, X:129, Y:136, W:81, H:81
Time:49918, ID:1, X:129, Y:136, W:81, H:81
Time:49972, ID:1, X:129, Y:136, W:81, H:81
Time:50026, ID:1, X:128, Y:137, W:81, H:81
Time:50080, ID:1, X:128, Y:137, W:81, H:81
Time:50134, ID:1, X:128, Y:137, W:81, H:81
Time:50188, ID:1, X:128, Y:137, W:81, H:81
Time:50242, ID:1, X:128, Y:137, W:81, H:81
Time:50296, ID:1, X:128, Y:137, W:81, H:81
Time:50350, ID:1, X:127, Y:138, W:81, H:81
Time:50404, ID:1, X:127, Y:138, W:81, H:81
Time:50458, ID:1, X:127, Y:138, W:81, H:81
Time:50512, ID:1, X:127, Y:138, W:81, H:81
Time:50566, ID:1, X:127, Y:139, W:81, H:81
Time:50620, ID:1, X:127, Y:139, W:81, H:81
Time:50674, ID:1, X:127, Y:139, W:81, H:81
Time:50728, ID:1, X:127, Y:139, W:81, H:81
Time:50782, ID:1, X:126, Y:138, W:81, H:81
Time:50836, ID:1, X:126, Y:138, W:81, H:81
Time:50890, ID:1, X:126, Y:136, W:81, H:81
Time:50944, ID:1, X:126, Y:136, W:81, H:81
Time:50998, ID:1, X:125, Y:134, W:81, H:81
Time:51052, ID:1, X:125, Y:134, W:81, H:81
Time:51106, ID:1, X:126, Y:132, W:81, H:81
Time:51160, ID:1, X:126, Y:132, W:81, H:81
Time:51214, ID:1, X:126, Y:133, W:81, H:81
Time:51268, ID:1, X:126, Y:133, W:81, H:81
Time:51322, ID:1, X:126, Y:135, W:81, H:81
Time:51376, ID:1, X:126, Y:137, W:81, H:81
Time:51430, ID:1, X:126, Y:137, W:81, H:81
Time:51484, ID:1, X:127, Y:138, W:81, H:81
Time:51538, ID:1, X:127, Y:138, W:81, H:81
Time:51592, ID:1, X:128, Y:139, W:81, H:81
Time:51646, ID:1, X:128, Y:139, W:81, H:81
Time:51700, ID:1, X:128, Y:137, W:81, H:81
Time:51754, ID:1, X:128, Y:137, W:81, H:81
Time:51808, ID:1, X:128, Y:137, W:81, H:81
Time:51862, ID:1, X:125, Y:136, W:81, H:81
Time:51916, ID:1, X:126, Y:136, W:81, H:81
Time:51970, ID:1, X:126, Y:136, W:81, H:81
Time:52024, ID:1, X:127, Y:135, W:81, H:81
Time:52078, ID:1, X:127, Y:135, W:81, H:81
Time:52132, ID:1, X:127, Y:135, W:81, H:81
Time:52186, ID:1, X:127, Y:135, W:81, H:81
