=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.02.24 08:18:03 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
Time:71685, ID:1, X:160, Y:128, W:70, H:70
Time:71739, ID:1, X:160, Y:128, W:70, H:70
Time:71793, ID:1, X:160, Y:128, W:70, H:70
Time:71847, ID:1, X:160, Y:128, W:70, H:70
Time:71901, ID:1, X:160, Y:128, W:70, H:70
Time:71955, ID:1, X:160, Y:128, W:70, H:70
Time:72009, ID:1, X:160, Y:128, W:70, H:70
Time:72063, ID:1, X:160, Y:128, W:70, H:70
Time:72117, ID:1, X:160, Y:128, W:70, H:70
Time:72171, ID:1, X:160, Y:128, W:70, H:70
Time:72225, ID:1, X:160, Y:128, W:70, H:70
Time:72279, ID:1, X:160, Y:128, W:70, H:70
Time:72333, ID:1, X:160, Y:128, W:70, H:70
Time:72387, ID:1, X:160, Y:128, W:70, H:70
Time:72441, ID:1, X:160, Y:128, W:70, H:70
Time:72495, ID:1, X:160, Y:128, W:70, H:70
Time:72549, ID:1, X:160, Y:127, W:70, H:70
Time:72603, ID:1, X:160, Y:127, W:70, H:70
Time:72657, ID:1, X:160, Y:127, W:70, H:70
Time:72711, ID:1, X:160, Y:127, W:70, H:70
Time:72765, ID:1, X:160, Y:127, W:70, H:70
Time:72819, ID:1, X:160, Y:127, W:70, H:70
Time:72873, ID:1, X:160, Y:128, W:70, H:70
Time:72927, ID:1, X:160, Y:128, W:70, H:70
Time:72981, ID:1, X:160, Y:128, W:70, H:70
Time:73035, ID:1, X:160, Y:128, W:70, H:70
Time:73089, ID:1, X:160, Y:128, W:70, H:70
Time:73143, ID:1, X:160, Y:128, W:70, H:70
Time:73197, ID:1, X:160, Y:128, W:70, H:70
Time:73251, ID:1, X:160, Y:128, W:70, H:70
Time:73305, ID:1, X:160, Y:128, W:70, H:70
Time:73359, ID:1, X:160, Y:128, W:70, H:70
Time:73413, ID:1, X:160, Y:128, W:70, H:70
Time:73467, ID:1, X:160, Y:128, W:70, H:70
Time:73521, ID:1, X:160, Y:129, W:70, H:70
Time:73575, ID:1, X:160, Y:129, W:70, H:70
Time:73629, ID:1, X:160, Y:129, W:70, H:70
Time:73683, ID:1, X:160, Y:129, W:70, H:70
Time:73737, ID:1, X:160, Y:129, W:70, H:70
Time:73791, ID:1, X:160, Y:129, W:70, H:70
Time:73845, ID:1, X:160, Y:129, W:70, H:70
Time:73899, ID:1, X:160, Y:129, W:70, H:70
Time:73953, ID:1, X:160, Y:128, W:70, H:70
Time:74007, ID:1, X:160, Y:128, W:70, H:70
Time:74061, ID:1, X:160, Y:128, W:70, H:70
Time:74115, ID:1, X:160, Y:128, W:70, H:70
Time:74169, ID:1, X:160, Y:128, W:70, H:70
Time:74223, ID:1, X:160, Y:128, W:70, H:70
Time:74277, ID:1, X:160, Y:128, W:70, H:70
Time:74331, ID:1, X:160, Y:128, W:70, H:70
Time:74385, ID:1, X:160, Y:128, W:70, H:70
Time:74439, ID:1, X:160, Y:128, W:70, H:70
