=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.30 09:54:16 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
1,3,73,37,102,
65415,1,3,93,45,118,86
65506,1,3,94,44,116,84
65596,1,3,80,44,88,84
65685,1,3,94,44,116,84
65776,1,3,95,45,118,86
65864,1,3,95,45,118,86
65954,1,3,93,46,114,88
66044,1,3,94,45,116,86
66134,1,3,94,44,116,84
66224,1,3,81,45,94,86
66314,1,3,81,45,94,86
66404,1,3,94,44,116,84
66495,1,3,95,44,118,84
66580,1,3,75,44,82,84
66670,1,3,80,44,92,84
66759,1,3,93,44,118,84
66850,1,3,94,44,120,84
66940,1,3,94,44,120,84
67032,1,3,95,44,118,84
67123,1,3,95,44,118,84
67212,1,3,93,44,118,84
67304,1,3,79,44,90,84
67395,1,3,95,43,118,86
67486,1,3,94,43,120,86
67575,1,3,79,44,90,84
67665,1,3,93,44,118,84
67753,1,3,93,44,118,84
67843,1,3,95,44,118,84
67933,1,3,95,44,118,84
68023,1,3,79,44,90,84
68112,1,3,78,44,88,84
68202,1,3,93,44,118,84
68293,1,3,93,44,118,84
68384,1,3,86,45,100,86
68475,1,3,79,44,90,84
68566,1,3,93,44,118,84
68656,1,3,93,43,118,86
68745,1,3,93,44,118,84
68831,1,3,79,44,86,84
68916,1,3,95,44,118,84
69006,1,3,94,44,120,84
69095,1,3,95,44,118,84
69182,1,3,95,44,118,84
69269,1,3,78,44,88,84
69359,1,3,93,43,118,86
69448,1,3,79,44,86,84
69536,1,3,95,44,118,84
69625,1,3,95,44,118,84
69717,1,3,93,44,118,84
69809,1,3,94,44,120,84
69899,1,3,79,44,90,84
69991,1,3,79,44,90,84
70082,1,3,93,44,118,84
70165,1,3,75,44,82,84
70255,1,3,80,44,92,84
70345,1,3,79,44,90,84
70436,1,3,93,45,118,86
70526,1,3,93,44,118,84
70616,1,3,93,44,118,84
70707,1,3,94,44,120,84
70798,1,3,94,44,120,84
70890,1,3,94,44,120,84
70981,1,3,94,44,120,84
71073,1,3,94,44,120,84
71163,1,3,80,44,92,84
71254,1,3,93,45,118,86
71345,1,3,93,45,118,86
71436,1,3,94,45,116,86
71528,1,3,93,45,118,86
71619,1,3,92,46,116,88
71710,1,3,93,46,118,88
71800,1,3,93,45,118,86
71890,1,3,93,45,118,86
71980,1,3,79,44,86,84
72071,1,3,93,44,118,84
72163,1,3,94,44,120,84
72251,1,3,94,44,120,84
72338,1,3,94,44,120,84
72426,1,3,95,44,118,84
72514,1,3,79,44,86,84
72605,1,3,95,44,118,84
72697,1,3,95,45,118,86
72788,1,3,95,46,118,88
72880,1,3,95,46,118,88
72971,1,3,94,46,116,88
73061,1,3,87,46,106,88
73151,1,3,84,46,100,88
73240,1,3,84,46,100,88
73329,1,3,87,46,102,88
73417,1,3,94,46,116,88
73505,1,3,94,46,116,88
73596,1,3,95,46,118,88
73684,1,3,95,46,118,88
73771,1,3,94,46,116,88
73857,1,3,95,46,118,88
73940,1,3,95,46,118,88
74030,1,3,95,46,118,88
74121,1,3,95,46,118,88
74210,1,3,95,45,118,86
74301,1,3,95,45,118,86
74392,1,3,95,45,118,86
74483,1,3,95,46,118,88
74574,1,3,95,46,118,88
74662,1,3,95,45,118,86
74753,1,3,95,45,118,86
74844,1,3,94,44,120,84
74935,1,3,95,44,118,84
75026,1,3,95,44,118,84
75118,1,3,95,43,118,86
75209,1,3,94,44,120,84
75294,1,3,94,44,120,84
75384,1,3,95,44,118,84
75475,1,3,95,44,118,84
75566,1,3,95,44,118,84
75653,1,3,95,44,118,84
75738,1,3,95,44,118,84
75827,1,3,95,44,118,84
75916,1,3,95,44,118,84
76003,1,3,95,44,118,84
76086,1,3,95,44,118,84
76176,1,3,95,44,118,84
76263,1,3,95,44,118,84
76351,1,3,95,44,118,84
76443,1,3,95,44,118,84
76534,1,3,95,44,118,84
76626,1,3,95,44,118,84
76717,1,3,95,44,118,84
76807,1,3,95,44,118,84
76895,1,3,95,44,118,84
76985,1,3,95,44,118,84
77075,1,3,94,44,120,84
77164,1,3,94,44,120,84
77254,1,3,94,44,120,84
77345,1,3,94,44,120,84
77437,1,3,95,44,118,84
77527,1,3,83,44,94,84
77615,1,3,95,44,118,84
77699,1,3,95,44,118,84
77787,1,3,94,44,120,84
77877,1,3,94,44,120,84
77969,1,3,94,44,120,84
78057,1,3,94,44,120,84
78148,1,3,94,44,120,84
78240,1,3,95,44,118,84
78330,1,3,94,44,120,84
78421,1,3,94,44,120,84
78510,1,3,94,44,120,84
78601,1,3,94,44,120,84
78692,1,3,94,44,120,84
78783,1,3,95,44,118,84
78874,1,3,94,44,120,84
78962,1,3,94,44,120,84
79049,1,3,94,44,120,84
79137,1,3,95,44,118,84
79227,1,3,94,44,120,84
79318,1,3,79,44,90,84
79408,1,3,92,44,116,84
79495,1,3,74,44,80,84
79583,1,3,76,44,84,84
79675,1,3,79,44,90,84
79761,1,3,78,44,88,84
79850,1,3,93,45,118,86
79941,1,3,79,44,90,84
80031,1,3,93,44,118,84
80118,1,3,82,44,96,84
80209,1,3,94,44,120,84
80300,1,3,81,44,94,84
80390,1,3,80,44,92,84
80477,1,3,94,44,120,84
80568,1,3,83,44,94,84
80660,1,3,94,44,116,84
80749,1,3,95,44,118,84
80837,1,3,95,44,118,84
80923,1,3,95,44,118,84
81007,1,3,94,44,120,84
81094,1,3,94,44,120,84
81183,1,3,95,43,118,86
81272,1,3,94,44,120,84
81360,1,3,94,44,120,84
81446,1,3,94,44,120,84
81536,1,3,94,44,120,84
81619,1,3,95,44,118,84
81710,1,3,95,44,118,84
81801,1,3,94,44,120,84
81892,1,3,94,44,120,84
81983,1,3,95,44,118,84
82074,1,3,95,44,118,84
82164,1,3,87,44,102,84
82255,1,3,95,44,118,84
82345,1,3,80,44,92,84
82437,1,3,93,43,118,86
82526,1,3,78,44,88,84
82617,1,3,93,44,118,84
82708,1,3,93,44,118,84
82799,1,3,92,44,116,84
82887,1,3,93,44,118,84
82978,1,3,92,44,116,84
83070,1,3,80,44,92,84
83161,1,3,93,44,118,84
83252,1,3,93,44,118,84
83344,1,3,92,46,116,88
83436,1,3,93,44,118,84
83529,1,3,93,43,118,86
83621,1,3,93,44,118,84
83713,1,3,93,44,118,84
83803,1,3,86,44,104,84
83894,1,3,94,44,120,84
83981,1,3,94,44,120,84
84071,1,3,95,43,118,86
84160,1,3,94,44,120,84
84250,1,3,95,44,118,84
84341,1,3,94,44,120,84
84430,1,3,95,44,118,84
84521,1,3,94,43,120,86
84613,1,3,94,44,120,84
84704,1,3,94,43,120,86
84796,1,3,83,44,98,84
84888,1,3,94,43,120,86
84980,1,3,92,44,112,84
85071,1,3,94,44,120,84
85163,1,3,95,44,118,84
85254,1,3,95,43,118,82
85346,1,3,94,44,120,84
85436,1,3,94,44,120,84
85527,1,3,95,44,118,84
85618,1,3,90,44,108,84
85709,1,3,95,44,118,84
85799,1,3,95,44,118,84
85887,1,3,94,44,116,84
85974,1,3,95,44,118,84
86061,1,3,95,44,118,84
86146,1,3,95,44,118,84
86234,1,3,95,44,118,84
86323,1,3,95,44,118,84
86414,1,3,94,46,116,88
86502,1,3,95,46,118,88
86592,1,3,92,46,112,88
86680,1,3,82,45,92,86
86764,1,3,95,44,118,84
86855,1,3,95,45,118,86
86944,1,3,95,45,118,86
87034,1,3,95,45,118,86
87123,1,3,94,45,120,86
87215,1,3,81,45,94,86
87306,1,3,94,45,120,86
87397,1,3,94,44,120,84
87488,1,3,95,44,118,84
87580,1,3,95,45,118,86
87671,1,3,94,44,120,84
87762,1,3,94,44,120,84
87854,1,3,94,44,120,84
87945,1,3,94,45,116,86
88037,1,3,93,45,118,86
88128,1,3,93,45,118,86
88220,1,3,95,45,118,86
88311,1,3,94,45,120,86
88403,1,3,94,45,120,86
88494,1,3,93,45,118,86
88586,1,3,93,46,118,88
88677,1,3,94,46,116,88
88765,1,3,85,46,102,88
88854,1,3,94,46,116,88
88944,1,3,80,46,88,88
89033,1,3,81,46,90,88
89119,1,3,81,46,94,88
89210,1,3,92,46,116,88
89301,1,3,92,46,116,88
89392,1,3,80,46,92,88
89482,1,3,79,46,90,88
89572,1,3,92,46,116,88
89663,1,3,92,48,116,92
89751,1,3,92,48,116,92
89838,1,3,92,48,116,92
89925,1,3,92,48,116,92
90013,1,3,92,47,116,90
90101,1,3,92,47,116,90
90190,1,3,83,48,98,92
90279,1,3,85,48,98,92
90368,1,3,94,48,116,92
90455,1,3,94,47,116,90
90544,1,3,94,47,116,90
90633,1,3,80,47,92,90
90724,1,3,80,47,88,90
90813,1,3,94,47,116,90
90903,1,3,94,47,116,90
90994,1,3,91,48,110,92
91085,1,3,94,47,116,90
