=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.02.25 00:04:05 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
0,-1,-1,-1,-1,-1
53112,0,-1,-1,-1,-1,-1
53134,0,-1,-1,-1,-1,-1
53156,0,-1,-1,-1,-1,-1
53178,0,-1,-1,-1,-1,-1
53200,0,-1,-1,-1,-1,-1
53222,0,-1,-1,-1,-1,-1
53244,0,-1,-1,-1,-1,-1
53266,0,-1,-1,-1,-1,-1
53288,0,-1,-1,-1,-1,-1
53310,0,-1,-1,-1,-1,-1
53332,0,-1,-1,-1,-1,-1
53354,0,-1,-1,-1,-1,-1
53376,0,-1,-1,-1,-1,-1
53398,0,-1,-1,-1,-1,-1
53420,0,-1,-1,-1,-1,-1
53442,0,-1,-1,-1,-1,-1
53464,0,-1,-1,-1,-1,-1
53486,0,-1,-1,-1,-1,-1
53508,0,-1,-1,-1,-1,-1
53530,0,-1,-1,-1,-1,-1
53552,0,-1,-1,-1,-1,-1
53574,0,-1,-1,-1,-1,-1
53596,0,-1,-1,-1,-1,-1
53618,0,-1,-1,-1,-1,-1
53640,0,-1,-1,-1,-1,-1
53662,0,-1,-1,-1,-1,-1
53684,0,-1,-1,-1,-1,-1
53706,0,-1,-1,-1,-1,-1
53728,0,-1,-1,-1,-1,-1
53750,0,-1,-1,-1,-1,-1
53772,0,-1,-1,-1,-1,-1
53794,0,-1,-1,-1,-1,-1
53816,0,-1,-1,-1,-1,-1
53838,0,-1,-1,-1,-1,-1
53860,0,-1,-1,-1,-1,-1
53882,0,-1,-1,-1,-1,-1
53904,0,-1,-1,-1,-1,-1
53926,0,-1,-1,-1,-1,-1
53948,0,-1,-1,-1,-1,-1
53970,0,-1,-1,-1,-1,-1
53992,0,-1,-1,-1,-1,-1
54014,0,-1,-1,-1,-1,-1
54036,0,-1,-1,-1,-1,-1
54058,0,-1,-1,-1,-1,-1
54080,0,-1,-1,-1,-1,-1
54102,0,-1,-1,-1,-1,-1
54124,0,-1,-1,-1,-1,-1
54146,0,-1,-1,-1,-1,-1
54168,0,-1,-1,-1,-1,-1
54190,0,-1,-1,-1,-1,-1
54212,0,-1,-1,-1,-1,-1
