=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.02.24 08:20:08 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
Time:68074, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:68126, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:68178, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:68230, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:68282, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:68334, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:68386, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:68438, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:68490, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:68542, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:68594, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:68646, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:68698, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:68750, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:68802, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:68854, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:68906, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:68958, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:69010, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:69062, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:69114, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:69166, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:69218, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:69270, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:69322, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:69374, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:69426, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:69478, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:69530, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:69582, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:69634, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:69686, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:69738, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:69790, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:69842, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:69894, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:69946, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:69998, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:70050, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:70102, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:70154, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:70206, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:70258, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:70310, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:70362, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:70414, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:70466, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:70518, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:70570, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:70622, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:70674, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:70726, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:70778, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:70830, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:70882, ID:-1, X:-1, Y:-1, W:-1, H:-1
